MX-GRO,Guerrero,Por Definir,31 de agosto 2021/ 03 de septiembre de 2021,Híbrido,De Regreso a la Escuela,SI,SI,SI,SP,https://heraldodemexico.com.mx/nacional/2021/6/22/guerrero-anuncia-regreso-clases-presenciales-en-agosto-309005.html https://www.elsoldemexico.com.mx/republica/sociedad/regreso-a-clases-presenciales-en-guerrero-sera-el-3-de-septiembre-preve-gobernador-pandemia-covid-19-6819985.html https://www.elsoldeacapulco.com.mx/local/complicado-el-regreso-a-clases-presenciales-en-guerrero-escuelas-pandemi-contagios-covid-guerrero-7039433.html https://snte.org.mx/seccion14/snte-condiciona-el-regreso-a-clases-presenciales-en-guerrero/ https://snte.org.mx/seccion14/con-seguridad-volvemos-a-la-escuela-snte/ https://www.elsoldeacapulco.com.mx/local/complicado-el-regreso-a-clases-presenciales-en-guerrero-escuelas-pandemi-contagios-covid-guerrero-7039433.html https://suracapulco.mx/consultara-a-los-padres-respecto-al-regreso-a-clases-presenciales-adelanta-la-ceteg/
MX-HID,Hidalgo,NO,Sin información,A distancia,Regreso Seguro a Clases en los centros educativos en el marco de la pandemia COVID 19. Operativo Escudo. Hidalgo Seguro,SI,SI,SI,99,https://periodico.hidalgo.gob.mx/?p=44435 https://subrayado.com.mx/hidalgo/cuando-regresan-a-clases-hidalgo-inicio-ciclo-escolar-2021-2022-seph/ https://criteriohidalgo.com/noticias/sin-condiciones-momento-regreso-clases-hidalgo-salud https://www.milenio.com/ciencia-y-salud/hidalgo-99-docentes-vacunaron-covid-19-seph
MX-JAL,Jalisco,SI,30 de Agosto 2021,Híbrido,Modelo hibrido y opcional de regreso a clases-Regreso a clases presenciales,SI,SI,SI,SP,https://www.jalisco.gob.mx/es/prensa/noticias/129538 https://www.jalisco.gob.mx/es/prensa/noticias/127052 https://www.facebook.com/educacion.jalisco/photos/a.446164440747/10158547049890748/ https://portalsej.jalisco.gob.mx/plan-jalisco-para-la-reactivacion-economica/ https://udgtv.com/noticias/regreso-clases-virtuales-decision-basada-criterios-cientificos-udeg/ 
MX-MEX,Estado de México,SI,Sin información,Híbrido,Plan de Reapertura de regreso a clases 2020*,SI,SI,SI,SP,https://subeducacionbasica.edomex.gob.mx/sites/subeducacionbasica.edomex.gob.mx/files/files/SEBComunicado07062021.pdfhttps://www.unionedomex.mx/articulo/2021/07/08/educacion/regreso-clases-edomex-2021-2022-conoce-las-actividades-previas https://www.milenio.com/ciencia-y-salud/regreso-a-clases-sera-presencial-y-a-distancia-seduc http://148.215.3.96:8283/imgcovid/PLAN%20REAPERTURA%2019%20de%20Mayo.pdf https://www.eluniversal.com.mx/metropoli/edomex/sin-definir-si-el-ciclo-escolar-2021-2022-iniciara-de-forma-presencial-en-edomex https://salud.edomex.gob.mx/isem/ac_boletines_informativos 
MX-MIC,Michoacán de Ocampo,SI,30 de agosto 2021*,Híbrido,Escuela Abierta,SI,SI,SI,SP,https://aulas.see.gob.mx/wp-content/uploads/2021/06/PROTOCOLO-DE-SALUD-2021-EDUCACIO%CC%81N-CIRCULAR-9.pdf https://aulas.see.gob.mx/wp-content/uploads/2021/06/Circular-SEE-10-2021.pdf https://mimorelia.com/sin-visto-bueno-de-ssm-y-expertos-en-epidemiolog%C3%ADa-no-habr%C3%A1-regreso-a-las-aulas-see-2021-08-03t19-11 https://educacion.michoacan.gob.mx/category/avisos/ https://www.elsoldemorelia.com.mx/local/finaliza-vacunacion-a-personal-docente-en-michoacan-6693260.html
MX-MOR,Morelos,SI,30 de agosto 2021,Híbrido,Regreso a Clases,SI,SI,SI,SP,https://morelos.gob.mx/?q=prensa/nota/comunicado-de-prensa-secretaria-de-educacion-3 https://elqueretano.info/trafico/presentan-calendario-escolar-2021-2022-para-morelos/ https://mexico.as.com/mexico/2021/07/30/actualidad/1627609664_758632.html https://mexico.as.com/mexico/2021/07/30/actualidad/1627609664_758632.html
MX-NAY,Nayarit,Por Definir,Sin información,A distancia,ApreSin informacióne en Casa,SI,SI,SI,SP,"https://www.nayarit.gob.mx/seccion/educacion https://meridiano.mx/seccion/nayarit/nayarit-no-est-en-condiciones-de-regresar-a-clases-presenciales-educaci-n-1/                                         https://www.nayarit.gob.mx/seccion/educacion#:~:text=El%20'Verano%20Divertido'%20iniciar%C3%A1%20el,cuando%20existan%20las%20condiciones%20sanitarias https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/nayarit/ https://meridiano.mx/seccion/nayarit/nayarit-no-est-en-condiciones-de-regresar-a-clases-presenciales-educaci-n-1/"
MX-NLE,Nuevo León,Por Definir,30 agosto en EB y EMS,A distancia,Sin información,Por definir,Por definir,SI,97.9,https://www.eleconomista.com.mx/estados/En-agosto-se-definira-si-hay-regreso-a-clases-en-Nuevo-Leon-Jaime-Rodriguez-20210712-0090.html https://www.nl.gob.mx/publicaciones/calendario-escolar-para-el-ciclo-2021-2022 https://twitter.com/SenlOficial/status/1405643117492158465/photo/2 https://twitter.com/SenlOficial/status/1405643117492158465/photo/1
MX-OAX,Oaxaca,Por Definir,30 agosto en EB y EMS,A distancia,Sin información,SI,Por definir,SI,100,https://mexico.as.com/mexico/2021/08/02/actualidad/1627869115_989386.html   https://planeacion.sep.gob.mx/entidadfederativa.aspx    https://www.marca.com/claro-mx/trending/2021/08/03/6109ade946163fda2b8b45fb.html   https://www.oaxaca.gob.mx/ieepo/circular-no-sge-dpe-003-2021-exhorto-a-escuelas-particulares/ https://www.milenio.com/estados/regreso-clases-presenciales-oaxaca-agosto-voluntario https://www.milenio.com/estados/regreso-clases-presenciales-oaxaca-agosto-voluntario
MX-PUE,Puebla,SI,30 de agosto,Híbrido,Modelo Educativo Híbrido en el Estado de Puebla Educación Básica y Media Superior Ciclo Escolar 2021-2022,NO,NO,SI,95,http://sep.puebla.gob.mx/index.php/component/k2/prueba-2-2-2 https://www.eluniversalpuebla.com.mx/educacion/95-de-maestros-en-puebla-ya-esta-vacunado-contra-covid
MX-QUE,Querétaro,SI,30 de agosto,Híbrido,Programa Especial de Regreso a Clases,SI,SI,SI,75,https://queretaro.gob.mx/regresoaclaseguro.aspx https://www.queretaro.gob.mx/covid19/contenido/noticiasContenido.aspx?q=vUYGbsxLnli7glS/gQWD0HldeVLSaRLz7RohSiloFmz7sxVv8axXyw== https://www.queretaro.gob.mx/pdf/SEDEQ_GuiaRegresoaClases.pdf
